,Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Tabard,Shirt,Off Hand,score
468,Wrathbark Greathelm,Trailspinner Pendant,Epaulettes of Overwhelming Force,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Sinful Gladiator's Plate Legguards,Sabatons of the Rushing Juggernaut,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Twisted Witherroot Band,Ring of Perpetual Conflict,Anima Field Emitter,Pulsating Stoneheart,Cloak of Enveloping Manifestations,Axe of the Deadgrove,Tabard of the Shattered Sun,,Sinful Gladiator's Guard,815.0
469,Wrathbark Greathelm,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Stonebark Girdle,Halkias's Towering Pillars,Dynamo Doomstompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Death God's Signet,Bloodoath Signet,Blood-Spattered Scale,Slimy Consumptive Organ,Drape of Twisted Loyalties,Engorged Worm Smasher,Tabard of the Lightbringer,,Acidslough Bulwark,652.6
470,Darkfrost Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Stonebark Girdle,Halkias's Towering Pillars,Errant Crusader's Greaves,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Arachnid Cipher Ring,Band of the Risen Bonelord,Sanguine Vintage,Inscrutable Quantum Device,Crest of the Legionnaire General,Sophisticated Bonecracker,,,Acidslough Bulwark,879.1
471,Wrathbark Greathelm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Shadowghast Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Hyperlight Band,Arachnid Cipher Ring,Anima Field Emitter,Splintered Heart of Al'ar,Cowled Batwing Cloak,Engorged Worm Smasher,Lightforged Tabard,,Chyrus's Crest of Hope,1026.3
472,Wrathbark Greathelm,Charm of Eternal Winter,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Shadowghast Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Hyperlight Band,Death God's Signet,Stone Legion Heraldry,Inscrutable Quantum Device,Cowled Batwing Cloak,Sophisticated Bonecracker,Lightforged Tabard,,Barricade of the Endless Empire,928.1
473,Darkfrost Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Girdle,Galvanized Oxxein Legguards,Sinful Gladiator's Plate Warboots,Soldier's Stoneband Wristguards,Distorted Construct's Gauntlets,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Sinful Gladiator's Insignia of Alacrity,Anima Field Emitter,Decadent Nathrian Shawl,Engorged Worm Smasher,,,Sinful Gladiator's Guard,991.2
474,Plague Handler's Greathelm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Fatal Contrivances,Stonebark Girdle,Shadowghast Greaves,Dynamo Doomstompers,Vambraces of the Depraved Warden,Guilewind Stone Talons,Ring of Perpetual Conflict,Death God's Signet,Blood-Spattered Scale,Slimy Consumptive Organ,Cloak of Enveloping Manifestations,Plague-Etched Hacker,Renowned Guild Tabard,Artisan Officer's Shirt,Acidslough Bulwark,704.4
475,Wrathbark Greathelm,Azure-Venom Choker,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Stonebark Girdle,Endlessly Gluttonous Greaves,Muckwallow Stompers,Hellhound Cuffs,Distorted Construct's Gauntlets,Sinful Gladiator's Ring,Sinful Gladiator's Signet,Darkmoon Deck: Indomitable,Viscera of Coalesced Hatred,Cloak of Enveloping Manifestations,Engorged Worm Smasher,,,Acidslough Bulwark,829.4
476,Plague Handler's Greathelm,Azure-Venom Choker,Shadowghast Pauldrons,Shieldguard's Breastplate,Selfless Collector's Girdle,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Ritual Bone Band,Ritual Commander's Ring,Spare Meat Hook,Darkmoon Deck: Voracity,Mantle of Manifest Sins,Sinsmasher,Arathor Battle Tabard,Sleeveless T-Shirt,Acidslough Bulwark,633.3
477,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Stonebark Girdle,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Hellhound Cuffs,Guilewind Stone Talons,Bloodoath Signet,Ritualist's Treasured Ring,Pulsating Stoneheart,Splintered Heart of Al'ar,Mantle of Manifest Sins,Supercollider,,,Acidslough Bulwark,832.3
478,Shadowghast Helm,Trailspinner Pendant,Unyielding Combatant's Pauldrons,Breastplate of Fatal Contrivances,Sinful Gladiator's Plate Greatbelt,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Sinful Gladiator's Signet,Signet of the False Accuser,Viscera of Coalesced Hatred,Inscrutable Quantum Device,Blighted Margrave's Cloak,Supercollider,Lightforged Tabard,,Sinful Gladiator's Guard,666.5
479,Darkfrost Helmet,Charm of Eternal Winter,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Sinful Aspirant's Ring,Hyperlight Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Grim-Veiled Cape,Engorged Worm Smasher,Renowned Guild Tabard,Artisan Officer's Shirt,Elysian Sentinel's Aegis,756.6
480,Darkfrost Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Abdominal Securing Chestguard,Binding of Warped Desires,Halkias's Towering Pillars,Muckwallow Stompers,Soldier's Stoneband Wristguards,Hardened Castle Crushers,Sinful Gladiator's Ring,Ardent Sunstar Signet,Blood-Spattered Scale,Sinful Aspirant's Insignia of Alacrity,Drape of Twisted Loyalties,Supercollider,Tabard of the Ascended,Artisan Officer's Shirt,Sinful Gladiator's Guard,689.6
481,Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Waistguard of Expurged Anguish,Gormshell Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Fleshfused Crushers,Death God's Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Blood-Spattered Scale,Dealer Xy'exa's Cape,Ascended Gladius of Glory,,,Elysian Sentinel's Aegis,713.5
482,Plague Handler's Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Muckwallow Stompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Bloodoath Signet,Signet of the False Accuser,Anima Field Emitter,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Sophisticated Bonecracker,,,Acidslough Bulwark,783.4
483,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Muckwallow Stompers,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Hyperlight Band,Decanter of Anima-Charged Winds,Pulsating Stoneheart,Cowled Batwing Cloak,Axe of the Deadgrove,,,Acidslough Bulwark,864.7
484,Shadowghast Helm,Charm of Eternal Winter,Vile Butcher's Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Shoulderblade Vambraces,Distorted Construct's Gauntlets,Band of the Risen Bonelord,Stitchflesh's Misplaced Signet,Anima Field Emitter,Inscrutable Quantum Device,Cowled Batwing Cloak,Supercollider,,,Acidslough Bulwark,597.7
485,Shadowghast Helm,Charm of Eternal Winter,Selfless Collector's Spaulders,Selfless Collector's Chestplate,Stonebark Girdle,Gormshell Greaves,Selfless Collector's Warboots,Thunderous Echo Vambraces,Selfless Collector's Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Bladedancer's Armor Kit,Darkmoon Deck: Indomitable,Decadent Nathrian Shawl,Engorged Worm Smasher,,,Encrusted Canopic Lid,376.2
486,Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Clockwork Legplates,Sabatons of the Iron Watcher,Selfless Collector's Wristguards,Fogweaver Gauntlets,Signet of the False Accuser,Ritual Commander's Ring,Viscera of Coalesced Hatred,Memory of Past Sins,Shawl of Haunted Memories,Ascended Gladius of Glory,,,Shieldwall of the Breaker,668.7
487,Plague Handler's Greathelm,Azure-Venom Choker,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Ceremonial Parade Legguards,Warboots of Ruthless Conviction,Reality-Shatter Vambraces,Fogweaver Gauntlets,Most Regal Signet of Sire Denathrius,Band of the Risen Bonelord,Viscera of Coalesced Hatred,Blood-Spattered Scale,Cowled Batwing Cloak,Axe of the Deadgrove,,,Builwark of the Stone Legion,706.1
488,Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Sinful Gladiator's Plate Chestguard,Stoic Guardsman's Belt,Sinful Gladiator's Plate Legguards,Errant Crusader's Greaves,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Ritualist's Treasured Ring,Hyperlight Band,Bargast's Leash,Gluttonous Spike,Decadent Nathrian Shawl,Barbed-Edge of the Stone Legion,Renowned Guild Tabard,Artisan Officer's Shirt,Sinful Gladiator's Redoubt,446.3
489,Wing Commander's Helmet,Sin Stained Pendant,Prankster's Pauldrons,Abdominal Securing Chestguard,Stonebark Girdle,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Fleshfused Crushers,Hyperlight Band,Signet of the False Accuser,Bladedancer's Armor Kit,Viscera of Coalesced Hatred,Drape of Twisted Loyalties,Sophisticated Bonecracker,,,Encrusted Canopic Lid,569.3
490,Sinful Gladiator's Plate Helm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Sinful Gladiator's Plate Greatbelt,Sinful Gladiator's Plate Wargreaves,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Sinful Gladiator's Ring,Sanguine Vintage,Phial of Putrefaction,Cowled Batwing Cloak,Axe of the Deadgrove,Ironforge Tabard,,Sinful Gladiator's Guard,904.5
491,Wrathbark Greathelm,Azure-Venom Choker,Prankster's Pauldrons,Abdominal Securing Chestguard,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fogweaver Gauntlets,Entwined Gorger Tendril,Shadowghast Ring,Hymnal of the Path,Inscrutable Quantum Device,Cowled Batwing Cloak,Sophisticated Bonecracker,,,Encrusted Canopic Lid,566.4
492,Dread Sentinel's Ebony Headgear,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Sinful Gladiator's Plate Greatbelt,Legplates of Unholy Frenzy,Stoneguard Attendant's Boots,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Ritual Commander's Ring,Ritualist's Treasured Ring,Sinful Aspirant's Insignia of Alacrity,Blood-Spattered Scale,Sinful Gladiator's Drape,Supercollider,,,Sinful Gladiator's Redoubt,553.0
493,Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Fused Bone Greatbelt,Gormshell Greaves,Sinful Aspirant's Plate Warboots,Pit Fighter's Wristguards,Hardened Castle Crushers,Ritualist's Treasured Ring,Sinful Gladiator's Ring,Pulsating Stoneheart,Sinful Aspirant's Insignia of Alacrity,Drape of Twisted Loyalties,Sinful Gladiator's Xiphos,Tabard of the Lightbringer,Stylish Black Shirt,Sylvan Whiteshield,592.2
494,Wing Commander's Helmet,Sinful Aspirant's Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Gormshell Greaves,Muckwallow Stompers,Reality-Shatter Vambraces,Fallen Templar's Gauntlets,Ritualist's Treasured Ring,Band of the Risen Bonelord,Blood-Spattered Scale,Bargast's Leash,Cowled Batwing Cloak,Axe of the Deadgrove,,Last Season's Shirt,Encrusted Canopic Lid,540.3
495,Darkfrost Helmet,Sinful Aspirant's Necklace,Pauldrons of Unleashed Pride,Breastplate of the Afterlife,Stonebark Girdle,Shadowghast Greaves,Errant Crusader's Greaves,Mimiron's Inferno Couplings,Guilewind Stone Talons,Bloodoath Signet,Ritualist's Treasured Ring,Sinful Aspirant's Insignia of Alacrity,Inscrutable Quantum Device,Sinful Aspirant's Drape,Supercollider,Tabard of the Lightbringer,Precious' Ribbon,Encrusted Canopic Lid,499.7
496,Wing Commander's Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Selfless Collector's Chestplate,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Selfless Collector's Warboots,Pit Fighter's Wristguards,Hardened Castle Crushers,Signet of the False Accuser,Twisted Witherroot Band,Anima Field Emitter,Bladedancer's Armor Kit,Dealer Xy'exa's Cape,Sinsmasher,,,Acidslough Bulwark,661.8
497,Dreadguard's Greathelm,Charm of Eternal Winter,Prankster's Pauldrons,Rampaging Giant's Chestplate,Binding of Warped Desires,Shadowghast Greaves,Sabatons of the Rushing Juggernaut,Hellhound Cuffs,Fleshfused Crushers,Hyperlight Band,Death God's Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Sinsmasher,,,Builwark of the Stone Legion,534.5
498,Dreadguard's Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Legplates of Unholy Frenzy,Warboots of Ruthless Conviction,Reality-Shatter Vambraces,Shieldguard's Gauntlets,Ring of Perpetual Conflict,Arachnid Cipher Ring,Viscera of Coalesced Hatred,Blood-Spattered Scale,Grim-Veiled Cape,Sophisticated Bonecracker,,Red Linen Shirt,Encrusted Canopic Lid,415.3
499,Wrathbark Greathelm,Sin Stained Pendant,Vile Butcher's Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Shoulderblade Vambraces,Fogweaver Gauntlets,Shadowghast Ring,Signet of the False Accuser,Gluttonous Spike,Darkmoon Deck: Voracity,Dealer Xy'exa's Cape,Bloodspiller,Lightforged Tabard,,Acidslough Bulwark,479.9
500,Plague Handler's Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Stonebark Girdle,Shadowghast Greaves,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fleshfused Crushers,Band of the Risen Bonelord,Ritualist's Treasured Ring,Bladedancer's Armor Kit,Anima Field Emitter,Dealer Xy'exa's Cape,Supercollider,Tabard of the Lightbringer,Precious' Ribbon,Encrusted Canopic Lid,695.6
501,Iron Riveted War Helm,Skychime Necklace,Epaulettes of Overwhelming Force,Breastplate of Brutal Dissonance,Stonebark Girdle,Plated Leggings of Ruination,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Fleshfused Crushers,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Gluttonous Spike,Stone Legion Heraldry,Asimov's Drape,Plague-Etched Gorer,,,Chyrus's Crest of Hope,210.2
502,Selfless Collector's GreatHelm,Azure-Venom Choker,Shadowghast Pauldrons,Selfless Collector's Chestplate,Fused Bone Greatbelt,Halkias's Towering Pillars,Muckwallow Stompers,Shoulderblade Vambraces,Guilewind Stone Talons,Ritual Commander's Ring,Stitchflesh's Misplaced Signet,Gluttonous Spike,Bladedancer's Armor Kit,Cloak of Enveloping Manifestations,Engorged Worm Smasher,Silvermoon City Tabard,,Barricade of the Endless Empire,677.1
503,Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Binding of Warped Desires,Endlessly Gluttonous Greaves,Stoneguard Attendant's Boots,Hellhound Cuffs,Distorted Construct's Gauntlets,Hyperlight Band,Entwined Gorger Tendril,Anima Field Emitter,Blood-Spattered Scale,Cowled Batwing Cloak,Sophisticated Bonecracker,Tabard of the Wyrmrest Accord,Red Linen Shirt,Chyrus's Crest of Hope,729.8
504,Shadowghast Helm,Skychime Necklace,Prankster's Pauldrons,Selfless Collector's Chestplate,Waistguard of Expurged Anguish,Legplates of Unholy Frenzy,Dynamo Doomstompers,Hellhound Cuffs,Fogweaver Gauntlets,Ritual Commander's Ring,Arachnid Cipher Ring,Bladedancer's Armor Kit,Pulsating Stoneheart,Drape of Twisted Loyalties,Gorestained Cleaver,,Red Linen Shirt,Elysian Sentinel's Aegis,493.4
505,Shadowghast Helm,Sinful Aspirant's Pendant,Sinful Gladiator's Plate Pauldrons,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Sinful Aspirant's Plate Warboots,Fallen Paragon's Armguards,Fogweaver Gauntlets,Sinful Gladiator's Signet,Sinful Aspirant's Ring,Sinful Aspirant's Insignia of Alacrity,Sinful Aspirant's Medallion,Sinful Gladiator's Cloak,Sinful Gladiator's Xiphos,,Red Lumberjack Shirt,Encrusted Canopic Lid,492.2
506,Shadowghast Helm,Sinful Gladiator's Necklace,Epaulettes of Overwhelming Force,Breastplate of Brutal Dissonance,Sinful Aspirant's Plate Girdle,Galvanized Oxxein Legguards,Muckwallow Stompers,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Ritual Commander's Ring,Signet of the False Accuser,Bargast's Leash,Slimy Consumptive Organ,Drape of Twisted Loyalties,Gorestained Cleaver,,White Swashbuckler's Shirt,Encrusted Canopic Lid,667.0
507,Selfless Collector's GreatHelm,Sin Stained Pendant,Shadowghast Pauldrons,Selfless Collector's Chestplate,Fused Bone Greatbelt,Halkias's Towering Pillars,Dynamo Doomstompers,Selfless Collector's Wristguards,Fogweaver Gauntlets,Signet of the False Accuser,Ritual Commander's Ring,Memory of Past Sins,Viscera of Coalesced Hatred,Selfless Collector's Greatcloak,Engorged Worm Smasher,Scout's Tabard,,Barricade of the Endless Empire,360.9
508,Wrathbark Greathelm,Sin Stained Pendant,Epaulettes of Overwhelming Force,Breastplate of Cautious Calculation,Binding of Warped Desires,Shadowghast Greaves,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fallen Templar's Gauntlets,Ritualist's Treasured Ring,Hyperlight Band,Gluttonous Spike,Splintered Heart of Al'ar,Cloak of Enveloping Manifestations,Engorged Worm Smasher,Renowned Guild Tabard,Captain Sanders' Shirt,Acidslough Bulwark,754.8
509,Darkfrost Helmet,Noble's Birthstone Pendant,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Legplates of Unholy Frenzy,Warboots of Ruthless Conviction,Sapsteel Vambraces,Guilewind Stone Talons,Bloodoath Signet,Ritual Bone Band,Viscera of Coalesced Hatred,Darkmoon Deck: Indomitable,Drape of Twisted Loyalties,Supercollider,,,Barricade of the Endless Empire,356.7
510,Dread Sentinel's Ebony Headgear,Sinful Aspirant's Necklace,Shadowghast Pauldrons,Dread Sentinel's Ebony Chestplate,Stoic Guardsman's Belt,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Shoulderblade Vambraces,Fleshfused Crushers,Ritualist's Treasured Ring,Death God's Signet,Gluttonous Spike,Master Duelist's Chit,Cowled Batwing Cloak,Gorestained Cleaver,,,Kudebeh's Remarkable Targe,365.4
511,Wing Commander's Helmet,Trailspinner Pendant,Vile Butcher's Pauldrons,Breastplate of Brutal Dissonance,Selfless Collector's Girdle,Shieldguard's Greaves,Selfless Collector's Warboots,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Arachnid Cipher Ring,Signet of the False Accuser,Bargast's Leash,Viscera of Coalesced Hatred,Cloak of Enveloping Manifestations,Sinsmasher,Tabard of the Dark Iron,,Elysian Sentinel's Aegis,598.5
512,Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Tharatos' Charred Chestplate,Girdle of the Soulflayer,Legplates of Unholy Frenzy,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Hardened Castle Crushers,Ritualist's Treasured Ring,Signet of the False Accuser,Pulsating Stoneheart,Slimy Consumptive Organ,Drape of Twisted Loyalties,Gorestained Cleaver,Renowned Guild Tabard,,Barricade of the Endless Empire,478.9
513,Wrathbark Greathelm,Muckformed Chain Choker,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stonebark Girdle,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Horologist's Wristguards,Shadowsteel Gauntlets,Fleshfused Circle,Entwined Gorger Tendril,Anima Field Emitter,Bladedancer's Armor Kit,Cloak of the Iron Council,Legacy of Thunder,,,Acidslough Bulwark,525.0
